case,count,offset,protocol_depth,ablate_depth,margin_delta_vs_full,target_logit,target_probability,target_rank,target_margin,vocab_entropy
count2-offset0,2,0,7,3,-0.08411216735839844,0.9769389629364014,1.4405222827917896e-05,3336,-11.147905349731445,6.686187267303467
count2-offset1,2,1,7,3,0.18105602264404297,0.965484619140625,1.1419070688134525e-05,3666,-11.38021469116211,6.664141654968262
count2-offset2,2,2,7,3,-0.037250518798828125,0.3257836401462555,7.467600426025456e-06,4251,-11.804929733276367,6.436895370483398
count2-offset3,2,3,7,3,-0.0398406982421875,0.15297511219978333,6.7979126470163465e-06,4715,-11.898887634277344,6.603887557983398
count4-offset0,4,0,7,3,0.06075572967529297,2.170846700668335,4.605420690495521e-05,1711,-9.985645294189453,6.602782249450684
count4-offset1,4,1,7,3,0.33959197998046875,2.079824447631836,3.727110015461221e-05,2067,-10.19725513458252,6.765311241149902
count4-offset2,4,2,7,3,0.06075572967529297,2.170846700668335,4.605420690495521e-05,1711,-9.985645294189453,6.602782249450684
count4-offset3,4,3,7,3,0.33959197998046875,2.079824447631836,3.727110015461221e-05,2067,-10.19725513458252,6.765310764312744
count8,8,0,7,3,0.2165546417236328,4.5532546043396,0.00012897742271889,645,-8.955743789672852,5.755203723907471
count0,0,0,7,4,0.21393966674804688,-1.3426330089569092,1.7293665450779372e-06,7119,-13.267753601074219,6.147902488708496
count1-offset0,1,0,7,4,0.04178142547607422,0.3676925301551819,1.0424756510474253e-05,3693,-11.47131633758545,6.579211235046387
count1-offset1,1,1,7,4,0.17266178131103516,0.3023439049720764,7.702178663748782e-06,4294,-11.773999214172363,6.610204696655273
count1-offset2,1,2,7,4,0.1545391082763672,-0.6631050109863281,3.997360636276426e-06,5197,-12.429872512817383,6.187011241912842
count1-offset3,1,3,7,4,0.08409976959228516,-0.38016262650489807,5.669404799846234e-06,5113,-12.08042049407959,6.591581344604492
count2-offset0,2,0,7,4,-0.011488914489746094,0.610482394695282,1.5490282748942263e-05,3293,-11.075282096862793,6.757408142089844
count2-offset1,2,1,7,4,0.11968326568603516,0.673521101474762,1.0739331628428772e-05,3754,-11.441587448120117,6.669431686401367
count2-offset2,2,2,7,4,0.07901191711425781,0.057216137647628784,8.388272362935822e-06,3971,-11.688667297363281,6.360039710998535
count2-offset3,2,3,7,4,0.02618694305419922,-0.18727430701255798,7.261917289724806e-06,4555,-11.832859992980957,6.593452453613281
count4-offset0,4,0,7,4,-0.1346120834350586,1.6595102548599243,3.788135290960781e-05,1906,-10.181013107299805,6.612695693969727
count4-offset1,4,1,7,4,-0.030060768127441406,1.5918583869934082,2.5753663067007437e-05,2493,-10.56690788269043,6.766359329223633
count4-offset2,4,2,7,4,-0.1346120834350586,1.6595102548599243,3.788135290960781e-05,1906,-10.181013107299805,6.612695693969727
count4-offset3,4,3,7,4,-0.030060768127441406,1.5918583869934082,2.5753663067007437e-05,2493,-10.56690788269043,6.766359329223633
count8,8,0,7,4,0.10255050659179688,4.315432071685791,0.00011508222087286413,697,-9.069747924804688,5.775273323059082
count0,0,0,7,5,0.3043184280395508,-1.044814109802246,1.8929442830994958e-06,6328,-13.177374839782715,6.0002522468566895
count1-offset0,1,0,7,5,0.25191497802734375,0.7414861917495728,1.2862482435593847e-05,3139,-11.26118278503418,6.465790271759033
count1-offset1,1,1,7,5,0.3226957321166992,0.5000506639480591,8.948945833253674e-06,3651,-11.6239652633667,6.464496612548828
count1-offset2,1,2,7,5,0.24451732635498047,-0.34133297204971313,4.373710908112116e-06,4686,-12.33989429473877,6.048245429992676
count1-offset3,1,3,7,5,0.27201271057128906,-0.027251482009887695,6.841425602033269e-06,4351,-11.892507553100586,6.461269855499268
count2-offset0,2,0,7,5,0.19330596923828125,0.986144483089447,1.9010756659554318e-05,2797,-10.870487213134766,6.630463600158691
count2-offset1,2,1,7,5,0.30196571350097656,0.8856195211410522,1.2886667718703393e-05,3196,-11.259305000305176,6.526731967926025
count2-offset2,2,2,7,5,0.19812583923339844,0.3994617462158203,9.44937073654728e-06,3512,-11.56955337524414,6.2314863204956055
count2-offset3,2,3,7,5,0.2415609359741211,0.20698794722557068,9.007122571347281e-06,3924,-11.617486000061035,6.4908857345581055
count4-offset0,4,0,7,5,0.053572654724121094,2.0698180198669434,4.5724624214926735e-05,1578,-9.992828369140625,6.423029899597168
count4-offset1,4,1,7,5,0.24041175842285156,1.8786003589630127,3.375205415068194e-05,1993,-10.296435356140137,6.6011223793029785
count4-offset2,4,2,7,5,0.053572654724121094,2.0698180198669434,4.5724624214926735e-05,1578,-9.992828369140625,6.423029899597168
count4-offset3,4,3,7,5,0.24041175842285156,1.8786003589630127,3.375205415068194e-05,1993,-10.296435356140137,6.601122856140137
count8,8,0,7,5,0.20975875854492188,4.5375566482543945,0.00012810403131879866,591,-8.962539672851562,5.508108139038086
